date,color,rain,dew,fog
5/1/2011,red,30.31,6,42
5/2/2011,yellow,30.31,10,50
5/3/2011,blue,30.14,15,59
5/4/2011,red,30.03,14,57
5/5/2011,red,30.01,4,39
5/6/2011,yellow,29.99,8,46
5/7/2011,blue,29.87,8,47
5/8/2011,red,29.96,9,48
5/9/2011,red,30.01,9,49
5/10/2011,red,30.05,8,47
5/11/2011,blue,30.09,10,50
5/12/2011,red,30.1,11,51
5/13/2011,yellow,30.03,11,51
5/14/2011,yellow,29.89,13,55
5/15/2011,blue,29.74,18,65
5/16/2011,blue,29.87,16,61
5/17/2011,red,29.98,14,57
5/18/2011,blue,30.03,16,61
5/19/2011,blue,30.05,18,64
5/20/2011,yellow,29.99,16,61
5/21/2011,yellow,30.05,17,63
5/22/2011,red,30.2,14,57
5/23/2011,blue,30.15,17,63
5/24/2011,blue,29.81,21,70
5/25/2011,red,29.95,16,61
5/26/2011,yellow,29.96,20,68
5/27/2011,blue,30.01,21,69
5/28/2011,red,30.09,20,68
5/29/2011,red,30.14,21,69
5/30/2011,yellow,30.13,21,70